접수ID,접수일,접수채널,차종,구입후개월,지역,VOC유형,추천지수,재구매의향,처리상태,처리소요일,내용요약
V001,2026-08-14,홈페이지,투싼,1,중부,보증/비용,6,없음,처리완료,11,출고 일정이 두 번 연기되었습니다.
V002,2026-08-30,콜센터,그랜저,2,호남,인도지연,6,없음,처리중,,출고 일정이 두 번 연기되었습니다.
V003,2026-09-02,영업점,아이오닉5,1,수도권,인포테인먼트,5,없음,처리중,,블루투스 연결이 자주 끊깁니다.
V004,2026-08-23,영업점,아반떼,3,호남,인포테인먼트,5,없음,처리완료,4,블루투스 연결이 자주 끊깁니다.
V005,2026-08-23,앱,싼타페,18,영남,차량품질,6,없음,처리완료,9,상담원 응대는 친절했습니다.
V006,2026-08-25,앱,투싼,9,중부,영업응대,8,있음,처리완료,6,서비스센터 대기 시간이 깁니다.
V007,2026-08-22,콜센터,투싼,24,영남,차량품질,8,있음,처리완료,7,보증 범위 안내가 명확하지 않았습니다.
V008,2026-08-20,앱,아반떼,12,영남,영업응대,7,있음,처리완료,9,상담원 응대는 친절했습니다.
V009,2026-08-12,영업점,싼타페,6,영남,차량품질,9,있음,처리완료,4,서비스센터 대기 시간이 깁니다.
V010,2026-08-15,콜센터,그랜저,3,영남,보증/비용,6,없음,접수,,서비스센터 대기 시간이 깁니다.
V011,2026-08-30,앱,쏘나타,6,수도권,영업응대,9,있음,처리완료,7,전반적으로 만족합니다.
V012,2026-09-02,콜센터,싼타페,24,호남,보증/비용,8,있음,처리완료,8,정비 예약이 3주 뒤에나 잡힙니다.
V013,2026-08-14,앱,팰리세이드,12,영남,정비서비스,8,있음,처리완료,9,정비 예약이 3주 뒤에나 잡힙니다.
V014,2026-08-24,콜센터,그랜저,18,영남,차량품질,8,있음,처리완료,6,출고 일정이 두 번 연기되었습니다.
V015,2026-08-30,홈페이지,팰리세이드,6,수도권,차량품질,9,있음,처리완료,3,출고 일정이 두 번 연기되었습니다.
V016,2026-08-22,영업점,싼타페,24,수도권,인도지연,10,있음,처리중,,시승 안내가 도움이 되었습니다.
V017,2026-08-16,서비스센터 방문,그랜저,18,호남,인도지연,6,없음,처리완료,4,정비 예약이 3주 뒤에나 잡힙니다.
V018,2026-08-31,콜센터,싼타페,12,영남,인도지연,8,있음,처리완료,2,서비스센터 대기 시간이 깁니다.
V019,2026-08-24,영업점,아반떼,6,영남,차량품질,6,없음,처리완료,1,시승 안내가 도움이 되었습니다.
V020,2026-08-13,콜센터,그랜저,24,중부,인도지연,7,있음,처리완료,7,출고 일정이 두 번 연기되었습니다.
V021,2026-08-15,콜센터,쏘나타,24,호남,인포테인먼트,2,없음,처리중,,내비게이션 화면이 주행 중 재부팅됩니다.
V022,2026-08-28,서비스센터 방문,쏘나타,24,중부,영업응대,6,없음,처리중,,상담원 응대는 친절했습니다.
V023,2026-08-13,앱,투싼,6,수도권,인포테인먼트,2,없음,처리완료,3,블루투스 연결이 자주 끊깁니다.
V024,2026-08-15,콜센터,아이오닉5,9,영남,인포테인먼트,3,없음,처리완료,3,무선 업데이트 이후 음성인식이 잘 안 됩니다.
V025,2026-08-30,앱,싼타페,9,중부,정비서비스,10,있음,처리중,,보증 범위 안내가 명확하지 않았습니다.
V026,2026-09-03,홈페이지,투싼,18,수도권,보증/비용,10,있음,처리완료,3,전반적으로 만족합니다.
V027,2026-09-04,콜센터,싼타페,6,중부,인포테인먼트,4,없음,처리완료,5,블루투스 연결이 자주 끊깁니다.
V028,2026-08-27,콜센터,팰리세이드,24,중부,영업응대,6,없음,처리완료,2,출고 일정이 두 번 연기되었습니다.
V029,2026-08-28,앱,그랜저,24,중부,차량품질,8,있음,처리중,,상담원 응대는 친절했습니다.
V030,2026-08-22,앱,아이오닉5,18,호남,인포테인먼트,5,없음,처리완료,4,후방카메라 화면이 늦게 뜹니다.
V031,2026-08-25,영업점,아반떼,6,호남,영업응대,8,있음,처리중,,상담원 응대는 친절했습니다.
V032,2026-08-17,영업점,아이오닉5,18,호남,인포테인먼트,3,없음,처리완료,9,후방카메라 화면이 늦게 뜹니다.
V033,2026-08-17,앱,그랜저,12,수도권,보증/비용,10,있음,처리완료,10,전반적으로 만족합니다.
V034,2026-08-31,앱,쏘나타,18,영남,인포테인먼트,1,없음,처리완료,1,내비게이션 화면이 주행 중 재부팅됩니다.
V035,2026-08-23,영업점,그랜저,18,중부,인도지연,7,있음,처리완료,1,전반적으로 만족합니다.
V036,2026-08-23,콜센터,싼타페,12,수도권,정비서비스,8,있음,처리완료,7,상담원 응대는 친절했습니다.
V037,2026-08-18,앱,싼타페,18,영남,인포테인먼트,4,없음,처리중,,내비게이션 화면이 주행 중 재부팅됩니다.
V038,2026-08-20,서비스센터 방문,아이오닉5,3,영남,인포테인먼트,1,없음,처리완료,1,블루투스 연결이 자주 끊깁니다.
V039,2026-08-16,영업점,팰리세이드,2,영남,보증/비용,10,있음,처리완료,2,전반적으로 만족합니다.
V040,2026-08-20,콜센터,아이오닉5,6,중부,인포테인먼트,2,없음,처리완료,12,무선 업데이트 이후 음성인식이 잘 안 됩니다.
