응답ID,응답일,공장,라인,직군,근속연수,작업환경만족,작업강도적정,안전관리만족,소통만족,개선우선순위,자유의견
P001,2026-08-20,아산공장,의장3라인,품질,3,4,1,5,3,휴게시간 확보,라인 속도가 올라간 뒤로 화장실 갈 틈이 없습니다.
P002,2026-08-18,아산공장,의장1라인,물류,1,4,5,5,4,작업도구 개선,반장님과 소통이 잘 되는 편입니다.
P003,2026-08-20,울산공장,차체1라인,반장,1,5,4,5,5,안전설비 보강,안전교육이 예전보다 체계적입니다.
P004,2026-08-25,울산공장,의장1라인,물류,8,4,4,2,2,인원 배치,반장님과 소통이 잘 되는 편입니다.
P005,2026-08-28,아산공장,의장3라인,반장,20,3,1,4,4,휴게시간 확보,교대 인원이 부족해 쉬는 시간을 못 씁니다.
P006,2026-08-25,전주공장,프레스1라인,품질,1,4,4,5,4,소통 개선,전반적으로 만족합니다.
P007,2026-08-28,울산공장,의장2라인,반장,8,4,4,5,4,안전설비 보강,반장님과 소통이 잘 되는 편입니다.
P008,2026-08-17,아산공장,프레스1라인,작업,15,3,3,4,4,소통 개선,
P009,2026-08-26,울산공장,의장2라인,물류,1,3,4,3,3,휴게시간 확보,반장님과 소통이 잘 되는 편입니다.
P010,2026-08-25,전주공장,차체1라인,작업,15,4,5,5,3,휴게시간 확보,전반적으로 만족합니다.
P011,2026-08-27,아산공장,도장1라인,품질,12,4,4,5,4,인원 배치,전반적으로 만족합니다.
P012,2026-08-19,울산공장,의장3라인,품질,3,5,2,3,4,휴게시간 확보,라인 속도가 올라간 뒤로 화장실 갈 틈이 없습니다.
P013,2026-08-24,울산공장,도장1라인,작업,12,4,4,5,3,소통 개선,특별한 불편은 없습니다.
P014,2026-08-22,아산공장,도장1라인,작업,3,5,4,4,4,안전설비 보강,반장님과 소통이 잘 되는 편입니다.
P015,2026-08-19,전주공장,도장1라인,반장,20,4,4,3,3,인원 배치,반장님과 소통이 잘 되는 편입니다.
P016,2026-08-19,아산공장,차체1라인,작업,12,5,4,5,3,안전설비 보강,공구 상태가 개선되어 작업이 수월해졌습니다.
P017,2026-08-18,울산공장,차체1라인,작업,5,4,5,5,3,작업도구 개선,
P018,2026-08-17,울산공장,도장1라인,물류,1,4,3,3,4,작업도구 개선,공구 상태가 개선되어 작업이 수월해졌습니다.
P019,2026-08-28,아산공장,프레스1라인,물류,12,4,2,4,2,소통 개선,안전교육이 예전보다 체계적입니다.
P020,2026-08-17,아산공장,의장3라인,작업,5,4,1,3,5,휴게시간 확보,라인 속도가 올라간 뒤로 화장실 갈 틈이 없습니다.
P021,2026-08-21,아산공장,프레스1라인,반장,8,4,4,3,4,인원 배치,
P022,2026-08-25,아산공장,의장2라인,반장,20,3,3,4,3,교육 확대,안전교육이 예전보다 체계적입니다.
P023,2026-08-20,울산공장,프레스1라인,품질,5,5,4,4,4,인원 배치,공구 상태가 개선되어 작업이 수월해졌습니다.
P024,2026-08-28,아산공장,차체1라인,반장,1,3,3,3,2,작업도구 개선,특별한 불편은 없습니다.
P025,2026-08-27,울산공장,의장1라인,반장,8,4,4,4,4,소통 개선,
P026,2026-08-23,전주공장,의장3라인,품질,1,5,1,5,4,휴게시간 확보,라인 속도가 올라간 뒤로 화장실 갈 틈이 없습니다.
P027,2026-08-24,아산공장,프레스1라인,물류,12,5,3,5,3,작업도구 개선,특별한 불편은 없습니다.
P028,2026-08-19,울산공장,차체1라인,작업,12,5,3,4,3,교육 확대,전반적으로 만족합니다.
